source,target,relationship,effect,impact
wolf,deer,predation,negative,0.95
wolf,coyotes,competition,negative,0.7

coyotes,rabbits,predation,negative,0.75
coyotes,mice,predation,negative,0.7

hawks,rabbits,predation,negative,0.6
hawks,mice,predation,negative,0.65

foxes,rabbits,predation,negative,0.6
foxes,mice,predation,negative,0.55

weasels,mice,predation,negative,0.7
badgers,rabbits,predation,negative,0.6

bears,berries,feeding,negative,0.5
bears,fish,predation,negative,0.7
bears,deer,predation,positive,0.35

bald_eagles,fish,predation,negative,0.75
bald_eagles,rabbits,predation,negative,0.6
bald_eagles,deer,scavenging,positive,0.35

ravens,deer,scavenging,positive,0.35

fish,amphibians,predation,negative,0.55
reptiles,amphibians,predation,negative,0.5
otter,fish,predation,negative,0.8


beaver,grass,grazing,negative,0.4
beaver,forest,grazing,negative,0.7

deer,grass,grazing,negative,0.75
deer,forest,grazing,negative,0.8

rabbits,grass,grazing,negative,0.65
mice,grass,grazing,negative,0.55

songbird,berries,feeding,negative,0.4
migratory_bird,berries,feeding,negative,0.45

beaver,beaver_dam,construction,positive,0.95
beaver_dam,river,water_regulation,positive,0.9

beaver_dam,fish,habitat_creation,positive,0.85
beaver_dam,ducks,habitat_creation,positive,0.8
beaver_dam,amphibians,habitat_creation,positive,0.85
beaver_dam,muskrats,habitat_creation,positive,0.85
beaver_dam,otter,habitat_creation,positive,0.85

forest,songbird,habitat,positive,0.7
forest,migratory_bird,habitat,positive,0.75
forest,foxes,habitat,positive,0.65
forest,bears,habitat,positive,0.7

grass,soil,erosion_control,positive,0.75
forest,soil,erosion_control,positive,0.9
soil,river,sediment_regulation,positive,0.8

